id,sub_target_type_set_id,target_value_type,target_value
1,1,1,1
2,2,1,2
5,4,2,1
6,5,2,2
10,8,1,5
11,9,1,3
12,10,1,4
13,11,1,6
14,12,1,7
15,13,2,7
16,14,1,8
17,15,2,8
19,17,1,9
20,18,1,10
21,19,1,11
22,20,1,12
23,21,2,12
24,22,1,13
25,23,3,1
26,24,3,2
27,25,3,4
28,26,1,14
29,27,2,14
30,28,2,10
31,29,1,15
32,30,2,6
33,31,1,16
34,32,2,16
35,33,1,17
36,34,2,4
37,35,1,18
38,36,2,13
39,37,1,19
40,38,1,20
41,39,2,20
42,40,1,21
43,41,2,21
44,42,2,18
45,43,1,22
46,44,2,22
47,45,1,23
48,46,2,23
49,47,1,24
50,48,2,24
51,49,1,25
52,50,2,25
53,51,1,26
54,52,2,26
57,54,1,6
58,54,2,27
59,55,1,27
60,56,2,27
61,57,1,28
62,58,2,28
63,59,1,29
64,60,2,29
65,61,1,1
66,61,2,29
67,62,1,20
68,62,2,16
69,63,1,28
70,63,2,17
71,64,2,17
72,65,1,30
73,66,2,30
74,67,1,31
75,68,2,31
76,69,2,5
77,70,1,32
78,71,2,32
79,72,1,33
80,73,2,33
81,74,1,34
82,75,2,34
83,76,1,33
84,76,2,34
85,77,1,35
86,78,2,35
87,79,1,30
88,79,2,35
89,80,1,4
90,80,2,27
91,81,1,4
92,81,2,17
93,82,2,19
94,83,1,36
95,83,2,14
96,84,1,38
97,85,2,38
98,86,1,39
99,87,2,39
100,88,1,37
101,88,2,18
102,89,1,23
103,89,2,4
104,90,1,40
105,90,2,5
106,91,1,40
107,92,2,40
108,93,1,41
109,93,2,23
110,94,1,41
111,95,2,41
112,96,1,37
113,97,2,37
114,98,1,5
115,98,2,17
116,99,1,22
117,99,2,6
118,100,1,42
119,101,2,42
120,102,1,43
121,103,2,43
122,103,1,21
123,104,1,36
124,105,1,44
125,106,2,44
126,106,1,12
127,107,1,45
128,108,2,45
129,108,1,7
130,109,1,45
131,110,1,46
132,111,2,46
133,111,1,1
134,112,2,46
135,112,1,10
136,113,1,49
137,114,1,48
138,115,2,48
139,115,1,11
140,116,1,47
141,117,2,47
142,117,1,8
143,118,1,51
144,119,1,50
145,120,2,50
146,121,1,52
147,122,2,52
148,122,1,33
149,123,1,53
150,124,2,53
151,124,1,32
152,125,2,11
153,126,1,54
154,127,2,54
155,128,1,54
156,128,2,27
157,129,2,52
158,130,1,55
159,131,1,28
160,131,2,55
161,132,1,56
162,133,2,56
163,134,2,56
164,134,1,6
165,135,1,56
166,136,2,56
167,136,1,52
168,137,1,59
169,138,1,58
170,139,2,58
171,139,1,9
172,140,2,59
173,140,1,53
174,141,2,46
175,142,1,57
176,143,2,57
177,143,1,5
178,144,2,9
179,145,2,51
180,146,1,44
181,146,2,7
182,147,1,60
183,148,2,60
184,149,1,61
185,150,2,61
186,151,1,2
187,151,2,60
188,152,1,62
189,153,2,62
190,154,1,26
191,154,2,62
192,155,1,63
193,156,2,63
194,157,1,64
195,158,2,64
196,159,1,66
197,160,2,66
198,161,2,66
199,161,1,22
200,162,1,67
201,163,2,67
202,164,2,67
203,164,1,22
204,165,1,65
205,166,2,65
206,167,2,6
207,167,1,28
208,168,1,69
209,169,2,69
210,169,1,16
211,170,1,68
212,171,2,68
213,172,1,39
214,172,2,68
215,173,1,70
216,174,2,70
217,175,2,70
218,175,1,4
219,176,2,3
220,177,1,71
221,178,2,71
222,179,1,35
223,179,2,71
224,180,1,72
225,181,2,72
226,182,1,30
227,182,2,72
228,183,1,31
229,183,2,72
230,184,1,73
231,185,2,73
232,186,2,73
233,186,1,21
234,187,2,74
235,187,1,40
238,188,1,74
239,189,2,57
240,190,1,75
241,191,2,75
242,192,1,63
243,192,2,75
244,193,2,64
245,193,1,16
246,194,1,76
247,194,2,17
248,195,2,36
249,196,1,36
250,196,2,45
251,197,1,45
252,198,1,77
253,199,1,36
254,199,2,77
255,200,1,78
256,201,1,14
257,201,2,78
258,202,2,77
259,203,2,78
260,204,1,79
261,205,1,54
262,205,2,79
263,206,2,79
264,207,1,80
265,208,2,80
266,209,1,6
267,209,2,80
268,210,1,81
269,211,2,81
270,212,1,38
271,212,2,81
272,213,2,43
273,214,1,40
274,214,2,63
275,215,1,82
276,216,2,82
277,217,1,19
278,217,2,82
279,218,1,83
280,219,2,83
281,220,1,80
282,220,2,83
283,221,1,9
284,221,2,83
285,222,1,8
286,222,2,1
287,223,2,1
288,223,1,24
289,224,1,84
290,224,2,29
291,225,1,84
292,226,2,84
293,227,1,85
294,227,2,72
295,228,1,85
296,229,2,85
297,230,1,84
298,230,1,39
299,231,1,29
300,231,1,39
301,231,2,84
302,232,1,85
303,232,1,39
304,233,1,72
305,233,1,39
306,233,2,85
307,234,1,5
308,234,2,28
309,235,1,46
310,235,2,55
311,236,1,60
312,236,2,50
313,237,1,28
314,237,2,30
315,238,1,28
316,238,2,31
317,239,1,3
318,239,2,72
319,240,4,30
320,241,1,14
321,241,2,41
322,242,1,62
323,242,1,41
324,243,1,14
325,243,1,62
326,243,2,41
327,244,1,9
328,244,2,31
329,245,1,9
330,245,1,68
331,246,2,9
332,246,1,31
333,246,1,68
334,247,1,86
335,248,2,86
336,249,1,86
337,249,2,17
338,250,1,86
339,250,1,62
340,251,2,86
341,251,1,62
342,251,1,17
343,252,1,58
344,252,2,86
345,253,2,44
346,254,2,36
347,254,1,30
348,255,1,36
349,255,1,38
350,256,1,30
351,256,1,38
352,256,2,36
353,257,2,38
354,257,1,59
355,258,1,38
356,258,1,21
357,259,1,59
358,259,1,21
359,259,2,38
360,260,1,76
361,261,1,39
362,261,2,30
363,262,1,76
364,262,2,8
365,263,1,8
366,263,1,17
367,264,1,76
368,264,1,17
369,264,2,8
370,265,1,69
371,265,2,7
372,267,1,87
373,268,2,87
374,268,1,19
375,269,1,87
376,269,1,83
377,270,1,19
378,270,1,83
379,270,2,87
380,271,1,41
381,272,1,24
382,273,1,10
383,273,2,82
384,274,2,87
385,275,1,79
386,276,1,25
387,276,2,79
388,277,1,79
389,277,1,72
390,278,1,25
391,278,1,72
392,278,2,79
393,279,4,64
394,280,1,11
396,281,1,4
397,281,2,11
398,282,2,41
399,282,1,16
400,283,1,41
401,283,1,23
402,284,2,41
403,284,1,16
404,284,1,23
405,285,1,41
406,285,1,23
407,286,2,41
408,286,1,16
409,286,1,23
410,287,1,41
411,288,2,28
412,288,1,29
413,289,1,28
414,289,1,17
415,290,2,28
416,290,1,29
417,290,1,17
418,291,2,48
419,292,2,34
420,292,2,33
421,292,1,47
422,293,1,34
423,293,1,25
424,294,1,34
425,294,2,25
426,294,1,79
427,295,2,34
428,295,1,33
429,295,1,25
430,296,2,34
431,296,1,33
432,296,2,25
433,296,1,79
434,297,2,34
435,297,2,33
436,297,1,47
437,297,1,25
438,298,2,34
439,298,2,33
440,298,1,47
441,298,2,25
442,298,1,79
443,299,1,21
444,299,2,29
445,300,1,52
446,300,2,21
447,300,2,29
448,301,1,29
449,301,1,80
450,302,1,29
451,302,1,37
452,302,2,80
453,303,1,21
454,303,1,80
455,303,2,29
456,304,1,21
457,304,1,37
458,304,2,29
459,304,2,80
460,305,1,52
461,305,1,80
462,305,2,29
463,305,2,21
464,306,1,52
465,306,1,37
466,306,2,29
467,306,2,21
468,306,2,80
469,307,1,32
470,307,2,29
471,308,1,29
472,308,1,80
473,309,1,29
